title,link,status,policy_type,policy_year,policy_id,policy_summary,source,tags,policy_length,word_count
"Regulation (EU) 2022/2379 of the European Parliament and of the Council of 23 November 2022 on statistics on agricultural input and output, amending Commission Regulation (EC) No 617/2008 and repealing Regulations (EC) No 1165/2008, (EC) No 543/2009 and (EC) No 1185/2009 of the European Parliament and of the Council and Council Directive 96/16/EC (Text with EEA relevance)",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2379&qid=1783311980937&rid=9,In force,REGULATION,2022,32022R2379,"on statistics on agricultural input and output, amending Commission Regulation (EC) No 617/2008 and repealing Regulations (EC) No 1165/2008, (EC) No 543/2009 and (EC) No 1185/2009 of the European Parliament and of the Council and Council Directive 96/16/EC",EUR-Lex,[],375,57
"Regulation (EU) 2024/795 of the European Parliament and of the Council of 29 February 2024 establishing the Strategic Technologies for Europe Platform (STEP), and amending Directive 2003/87/EC and Regulations (EU) 2021/1058, (EU) 2021/1056, (EU) 2021/1057, (EU) No 1303/2013, (EU) No 223/2014, (EU) 2021/1060, (EU) 2021/523, (EU) 2021/695, (EU) 2021/697 and (EU) 2021/241",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32024R0795&qid=1783311980937&rid=7,In force,REGULATION,2024,32024R0795,"establishing the Strategic Technologies for Europe Platform (STEP), and amending Directive 2003/87/EC and Regulations (EU) 2021/1058, (EU) 2021/1056, (EU) 2021/1057, (EU) No 1303/2013, (EU) No 223/2014, (EU) 2021/1060, (EU) 2021/523, (EU) 2021/695, (EU) 2021/697 and (EU) 2021/241",EUR-Lex,[],372,52
Regulation (EU) 2023/2631 of the European Parliament and of the Council of 22 November 2023 on European Green Bonds and optional disclosures for bonds marketed as environmentally sustainable and for sustainability-linked bonds (Text with EEA relevance),https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R2631&qid=1783311980937&rid=1,In force,REGULATION,2023,32023R2631,on European Green Bonds and optional disclosures for bonds marketed as environmentally sustainable and for sustainability-linked bonds,EUR-Lex,"['Environment', 'Green Deal']",253,36
