geo,year,gdp_million_eur
UK,2024,3421795.85
UK,2023,3167404.31
UK,2022,3029756.52
UK,2021,2707253.55
UK,2020,2389474.98
UK,2019,2567598.29
NO,2024,463783.64
NO,2023,464997.81
NO,2022,587925.56
NO,2021,442027.29
NO,2020,335309.23
NO,2019,378790.08
CH,2024,898073.88
CH,2023,859662.29
CH,2022,817599.08
CH,2021,712466.12
CH,2020,663242.26
CH,2019,657486.4
